label,message
0,"Clarify the role of spring-boot-starter-cache <enter>  <enter> The cache abstraction is a core feature of the Spring Framework. Basic <enter> features such as `@EnableCaching` are therefore available by default with <enter> no extra dependencies necessary. <enter>  <enter> However, the actual cache adapters for JCache, Ehcache 2.x, Caffeine and <enter> Guava are located in a separated module, `spring-context-support`. Spring <enter> Boot provides that artifact via the `spring-boot-starter-cache` starter. <enter>  <enter> It is quite easy to 'only' add the cache library dependencies and forget <enter> about this extra dependencies since `@EnableCaching` is available by <enter> default. This commit clarifies the role of the starer in each section so <enter> that it is more obvious. We're already explaining this at the beginning <enter> of the section but it seems that's not enough. <enter>  <enter> Closes gh-7071"
3,added toString() to ErrorResponse.java
1,rm dubbo-admin
0,Fixup HeldCertificate so that it's worthy of production use. <enter>  <enter> This changes the default from the insecure 1024-bit RSA to a secure 256-bit ECDSA <enter> key. It adds a new option to use RSA keys for interoperating with older clients.
0,move isMetaMethod to MethodUtils (#4387)
0,Polish #4674 & #4470 (#5033) <enter>  <enter> * Polish /apache/dubbo#4687 : Remove the duplicated test code in dubbo-config-spring <enter>  <enter> * Polish /apache/dubbo#4674 & /apache/dubbo#4470
0,"temporarily change spring-context-support dependency back to SNAPSHOT, the formal release turns to be broken."
0,Fixes #254: replaced @Rule by @ClassRule
0,Remove unnecessary comments
0,Support follow-ups for duplex requests. <enter>  <enter> https://github.com/square/okhttp/issues/4267
0,Fixed #1138 check serialization in case it's changed from network.
0,"Support escaped characters in BasicJsonParser <enter>  <enter> This commit adds the ability to have escaped characters, like the quote, <enter> when using the BasicJsonParser. It also adds a short test for escaped <enter> quotes. <enter>  <enter> Closes gh-14521"
3,Make error-prone validate missing override annotations
3,Highlight java syntax
0,use revision in pom.xml (#3980)
2,Better validation in Theories
0,Remove obsolete @JvmField
0,"- Simplified Theory code by assuming that all datapoints are static <enter>   (every one I've ever written is) <enter>  <enter> - Removed EachTestNotifier from Assignments (makes the class more <enter>   cohesive, but requires the notifier to get passed around a bunch. <enter>   TODO added to look at this.) <enter>  <enter> - Extracted AllMembersSupplier, absorbed AssignmentRequest into <enter>   Assignments.  Better cohesion, less coupling <enter>  <enter> - EachTestNotifier.withNewInstance is no longer needed.  It was a <enter>   nasty little beast and will not be missed. <enter>  <enter> - Added comment to ErrorList TODO <enter>  <enter> - Added TestMethod.getTestClass--will probably change in upcoming <enter>   model package revamp anyway"
0,Disable bean method proxying in SpringBootJdbcConfiguration <enter>  <enter> Closes gh-22231
0,Add details in Jest ElasticSearch HealthIndicator <enter>  <enter> This commit polishes the previous one and aligns the Jest <enter> HealthIndicator with the changes made for the REST variant. <enter>  <enter> Closes gh-15366
2,Fix compilation errors
1,weird demo changes
0,Class comment error (#3481)
0,Update changelog for 2.8.0
0,code format (#2528)
3,"simplified isIgnored check in Framework, using it in <enter> BlockJUnit4ClassRuner"
2,fix client retry create proxy lead to OOM (#4109)
0,Avoid blocking on a Mono indefinitely <enter>  <enter> Closes gh-15535
1,"removed settings.xml, updated building-junit.txt and pom.xml"
0,Prefer interfaces over concrete classes <enter>  <enter> Makes code easier to scan by removing unnecessary noise.
0,Polish release notes in CHANGES.md
0,Ignore testStatusChecker since it is unstable and consider removing it later.
2,baseUrl should end with '/'
3,Remove throws from TestWatchman.starting
0,Fix dead link to the ant task in FAQ (#1478) <enter>  <enter> Documentation to the ant junit task has been moved to another location.
3,"Created a separate build directory for new build scripts, including FTP upload"
0,Fix code reference in Javadoc.
0,Update to Gson 2.8.5.
2,Exceptions from peer closing should not be propagated.
0,Fix ContentTypeId conflict (#3967) <enter>  <enter> * fix ContentTypeId conflict <enter>  <enter> * modify <enter>  <enter> * modify avro id
0,Added logo and contributor by name
0,Use the annotations directly for parameter handling. <enter>  <enter> Before we attempted to normalize the parameter annotations into a name and type model. The introduction of multi-part transfer encodings required something more expressive so the annotation instances themselves were used. This change removes the name and type in favor of using the annotation for everything. <enter>  <enter> Deprecate the pre-encoded annotations in favor of boolean fields on the corresponding 'regular' annotation.
0,More accurately name call adapter list field. (#2664)
3,Add response object to callback success. <enter>  <enter> Gives access to response headers while still converting response within retrofit.
0,Add comment
0,Set TCCL before initialising test class in FilteredClassPathRunner <enter>  <enter> Closes gh-7435
0,Remove deprecated configuration properties <enter>  <enter> This commit removes the following deprecated properties: <enter>  <enter> * `server.connection-timeout` <enter> * `server.use-forward-headers` <enter> * `server.jetty.max-http-post-size` <enter> * `server.tomcat.max-http-post-size` <enter>  <enter> Closes gh-20991
3,API for handling an unexpected SSE response
0,Build setup tweak to work around release plugin bug. <enter>  <enter> http://jira.codehaus.org/browse/MRELEASE-812
3,Simplifying isEqualsRegardingNull.
0,Permit network interceptors to rewrite the host header. <enter>  <enter> This makes it possible to do domain fronting. <enter>  <enter> Closes https://github.com/square/okhttp/issues/3103
0,Improved Test: ParallelMethodTest fails few times
0,Updated to 4.6 final <enter>  <enter> Signed-off-by: Kent Beck <kent@threeriversinstitute.org>
0,Update ForkingClusterInvoker.java (#5875)
0,"Fix #1411 Java Locale use '_' split language, country, variant. (#1413)"
3,Stripped accidental formatting from an earlier commit
0,Add Retrofit.Builder.adapterFactories(). (#2486)
3,register applicationconfig
2,HTTP/2 initial window size is 65535 not 65536.
0,Remove duplicated test. <enter>  <enter> It is the same as  in this file.
3,Configure travis caching for gradle.
3,Added 3 names and a link
0,Ability to add Http status code to Response.success (#2715)
0,Correct @Parameter config of field of ConfigCenterConfig (#3688)
0,Upgrade to Jackson 2.8.7 <enter>  <enter> Closes gh-8355
0,"A Pipe. <enter>  <enter> This is something we need to implement HttpURLConnection atop the native <enter> OkHttp API. The application thread wants to be active, writing to its <enter> OutputStream. But in OkHttp's API, this work wants to happen in the <enter> RequestBody.writeTo() callback. To make this work we give the HttpUrlConnection <enter> OutputStream the sink end of the pipe, and the RequestBody the source end <enter> of the pipe. It's a bit of plumbing, but the benefit is that backpressure, <enter> timeouts, and failures will propagate as expected."
0,Request entity tests for the Apache client shim.
0,Rename 'pair' to 'field' to match annotation. <enter>  <enter> Closes #206.
0,Updated URL to Google's code style repository. <enter> Document indent size. <enter>  <enter> Updating code style as per https://github.com/junit-team/junit4/pull/1306#issuecomment-221194760
3,delete class
3,"Run IntelliJ inspections on the codebase <enter>  <enter> Some nullability warnings, some diamond operators, adopting Objects.equals(), <enter> and some dead code elimination."
3,Getting started on Interceptors javadoc <enter>  <enter> Signed-off-by: Kent Beck <kent@threeriversinstitute.org>
3,Allow HTTP errors to be created as part of mock behavior.
0,Polish 'Fix Spring Batch job restart parameters handling' <enter>  <enter> See gh-14933
3,Allow uppercase letters in path parameters.
0,"Fatal errors should crash the dispatcher thread <enter>  <enter> This is an imperfect fix as uncaught exceptions reaching OkHttpCall which are not fatal still only log, but most of the adapters are defending against anything getting this far already. <enter>  <enter> Also contained is a fix for the RxJava 2 async adapter. Non-200 responses delivered to the body observer would be forwarded to onError. If that callback threw a fatal exception, it would be re-delivered to the body observer despite it having already called a downstream terminal method. The fatal error should have been propagated by the async observer instead of attempting to make its way back downstream."
3,Include prerequisites in the releasing guide. <enter>  <enter> https://github.com/cashapp/barber/blob/master/docs/releasing.md
0,Test that conditional misses update the cache. <enter>  <enter> Closes https://github.com/square/okhttp/issues/1712
3,Switch to a proper builder for MockRetrofit. <enter>  <enter> This allows passing an explicit executor for test cases.
3,Migrate release notes from wiki to repo
0,More interceptor tests. <enter>  <enter> Test interactions with the response cache and HttpURLConnection.
0,"Centralise logging behind JUL (#6005) <enter>  <enter> Use JUL, but wire up to the Android Log. <enter>  <enter> Use `adb shell setprop log.tag.okhttp.Http2 DEBUG` to enable logging for known levels."
1,Add 2.0.7 <enter>  <enter> git-svn-id: http://code.alibabatech.com/svn/dubbo/trunk@8 1a56cb94-b969-4eaa-88fa-be21384802f2
2,app level override rule should only generate one url
0,change version to 2.7.6-SNAPSHOT to prepare for next major release
3,Last changes with Kent. <enter>  <enter> Added fixed bugs to Release notes. <enter> Updated version number. <enter> Updated README.html <enter>  <enter> Signed-off-by: Kent Beck <kent@threeriversinstitute.org>
0,Upgrade to Jetty 9.2.19.v20160908 <enter>  <enter> Closes gh-6931
0,extract method to cache default extension name (#3456)
3,Remove tabs
0,"API change: Make OkHttpClient accessors final <enter>  <enter> If we want these to be vals to Kotlin, they can't be open. I think the <enter> motivation to make these non-final was pretty weak, and I don't mind <enter> breaking API compatibility here."
0,Get rid of the now-useless HttpServiceMethod.Builder <enter>  <enter> A simple static factory will do.
3,Exclude 'internal' packages in generated Javadocs
0,Make HttpConnection.connect return full working connections. <enter>  <enter> Previously the returned connections required the caller to <enter> do extra work: setting up tunnels (which could require auth) <enter> and performing an SSL handshake. With this change we make a <enter> complete working connection in HttpConnection.connect(). <enter>  <enter> This will make it easier to fix fallback when a single domain <enter> has multiple IP addresses and some of those addresses are not <enter> reachable. <enter>  <enter> This will also make it easier to do SPDY through HTTP proxies.
0,add the router key in dubbo.xsd (#5337)
0,"Fix a race condition in Connection.isExpired(). <enter>  <enter> This was causing some SPDY connections to be evicted early, <enter> and preventing connection reuse. <enter>  <enter> The spdyConnectionReuse test becomes flaky with the <enter> fix that makes MockWebServer use different sequenceNumbers <enter> for different requests on the same socket. With the fix <enter> the test is no longer flaky. The old test wasn't good enough <enter> to detect what it wanted to detect! <enter>  <enter> This race has existed in the code since we added more <enter> aggressive time-based expiration in January 2013. In my <enter> basic tests the race impacted ~20% of connections on a <enter> desktop VM. It may have been more on mobile."
3,Added assert FAQ.
2,"safer check for invalid values, without catching OOM"
3,ExpectedException allows multiple exceptions <enter>  <enter> Signed-off-by: Kent Beck <kent@threeriversinstitute.org>
0,Added AdNovum large logo
2,Fix NPE in TagRouter
0,refactor package <enter>  <enter> git-svn-id: http://code.alibabatech.com/svn/dubbo/trunk@1400 1a56cb94-b969-4eaa-88fa-be21384802f2
3,Simplify asynchronous executor API.
0,Increase running time of statement. Fixes #963. <enter>  <enter> The time between starting the statement and calling the future is <enter> arbitrary. Now the execution time of the statement is very very long. <enter> This ensures that the statement is not already finished when the <enter> future is called.
0,"Support path discovery for main dispatcher servlet <enter>  <enter> Add an `DispatcherServletPath` interface which provides a much more <enter> consistent way to discover the path of the main dispatcher servet. <enter>  <enter> Prior to this commit, auto-configurations would often make use of the <enter> `ServerProperties` class to discover the dispatcher servlet path. This <enter> mechanism isn't very explicit and also makes it hard for us to relocate <enter> that property in Spring Boot 2.1. <enter>  <enter> This commit also reverts most of fddc9e9c7e since it is now clear that <enter> the supporting multiple dispatcher servlet paths will be much more <enter> involved that we originally anticipated. <enter>  <enter> Closes gh-13834"
2,Unnecessary array in varargs in AnnotatedBuildrer: Constructor#newInstance(Object ... initargs)
0,"add comment for FutureAdapter, see #3979"
0,Updated release notes <enter>  <enter> Signed-off-by: Kent Beck <kent@threeriversinstitute.org>
3,Methods on inaccessible superclasses of test classes are caught during validation
0,Add pullPolicy option for image building <enter>  <enter> This commit adds a pullPolicy option to the configuration of the Maven <enter> plugin spring-boot:build-image goal and the Gradle plugin bootBuildImage <enter> task. The new option gives users control over pulling the builder image <enter> and run image from a remote image registry to the local Docker daemon. <enter>  <enter> See gh-22736
0,"Fix MavenSettings ?handling of profiles activated by a file <enter>  <enter> Previously, MavenSettings used a FileProfileActivator with no <enter> PathTransformer. If a settings.xml file contains a file-activated <enter> profile this would result in an NPE within Maven. This was made worse <enter> by the NPE not being included in the resulting failure message which <enter> hampered diagnosis of the problem. <enter>  <enter> This commit updates MavenSettings to configure its FileProfileActivator <enter> with a PathTransformer. It also improves the failure message that’s <enter> created from any problems that are reported by Maven while determining <enter> the active profiles to include a problem’s exception if it has one. <enter>  <enter> Closes gh-4826"
3,Improve error message if the thrown exception has the same class but the classes are loaded from different class loaders.
0,"Testing with JDK 12 and latest 11.0.3 (#5212) <enter>  <enter> JDK 12 and be more specific about when we expect failures, e.g. 11.0.3 has fixes we should take into account."
1,Switching back from kcooney-run-leaf to kcooney-run-leaf
0,[dubbo-1689]: Enhance the test coverage part-10 : dubbo-plugin module (#1980) <enter>  <enter> *     #1689: Enhance the test coverage part-10 : dubbo-plugin module <enter>  <enter> *     #1689: Enhance the test coverage part-10 : dubbo-plugin module <enter>  <enter> * fix unit test failure
3,added the since 4.12 where appropriate
0,Polish 'Debug mode is not logging web and sql related loggers' <enter>  <enter> Closes gh-16018
2,Fix checkstyle issues in new Cookie code.
3,Disable xref reports
3,Relocate Maven artifact 'junit-dep' to 'junit'
3,Allow Server extensions; improved FilesTest
0,"Whole operation timeouts <enter>  <enter> Strictly-speaking this change is backwards-incompatible because it adds <enter> a new method to the Call interface. The method returns the call's timeout. <enter>  <enter> The trickiest part of this is signaling the end of the call, which <enter> occurs after the last byte is consumed of the last follow up request, <enter> or when the call fails. Fortunately this is made easier by borrowing <enter> the sites used by EventListener, which already plots out where calls <enter> end. <enter>  <enter> https://github.com/square/okhttp/issues/2840"
0,"Fix netutils log endless recursive (#5514) <enter>  <enter> * Fixes #4992, endless recursive call when NetUtils method fails. <enter> * Fixes #4225"
0,Add Call.isExecuted(). <enter>  <enter> Might be useful to expose this bookkeeping to app developers.
3,modify metadata store from sync to async
0,add openjdk to travis (#3300) <enter>  <enter> * add openjdk to travis <enter>  <enter> * add openjdk to travis
0,Move TLSv1 and TLSv1.1 to COMPATIBLE_TLS. <enter>  <enter> We no longer connect to TLSv1.0 or TLSv1.1 servers out-of-the-box; instead <enter> it is necessary to enable COMPATIBLE_TLS in the OkHttpClient configuration. <enter>  <enter> This is in the path to later removing these TLS versions completely; that <enter> is scheduled for March 2020 by some browsers. <enter>  <enter> https://github.com/square/okhttp/issues/4319
0,"In order to facilitate the consumer to better locate the failure of provider token check, the token value called by consumer will be printed out in the exception information (#6800)"
2,Package name error (#3354)
3,Switch to OpenJDK
0,performance tuning: save rpcinvocation allocation (#4215)
0,add unit test for parsing path
3,Retain old parameter type.
0,Fix foo/bar/baz in @Query documentation
0,Remove openjdk6 from Travis pipeline for now <enter>  <enter> Related issue: #1577
0,Polish apache/dubbo#6296 : Adding the new methods into MetadataReport to manipulate the exported URLs for service introspection (#6299)
1,merged
0,fix issue #227: permit use when servers or intermediaries mistakingly miss Content-Type header
2,Fix ParentRunner#withClassRules javadoc.  (Thanks to lacostej for initial pull) <enter> Closes GH-191.
3,Add empty Log implementation.
0,Add JSR 305 nullability annotations.
0,Add support for connect start/end events. (#3434)
0,Prepare for 2.0.0-beta2.
3,Change links to point directly to junit4/5 repos
2,fix wrong telnet command package(#5690) (#5815)
0,Added more Javadoc to Assert for messages and when they are displayed. <enter> Put versiontag back into Version.
0,#1067: I18N effort for dubbo code base - dubbo-rpc (part1)
0,Update README.md
3,implementing kcooney's suggestion
2,Fix Dubbo-3990 #3990 (#5247)
0,"Push OkHttp 3.14.x into the sea. It is no longer supported. (#6179) <enter>  <enter> OkHttp 4.x is our only branch receiving security fixes, bug fixes, and <enter> new features. <enter>  <enter> OkHttp 3.12.x gets security fixes only."
0,[Dubbo-5592] simplify code for getExtensionLoader method (#5593)
0,Add support for following HTTP 307 temporary redirects. <enter>  <enter> Fixes Android bug 41739.
3,Add .script route rules back for UT
2,Fix a regression in combining cache headers <enter>  <enter> This was introduced with our migration to Kotlin. Iterating over the indices <enter> of the header names doesn't work because header names are not distinct. <enter>  <enter> Closes: https://github.com/square/okhttp/issues/5413
0,"Switch to a better, custom validating subscriber. <enter>  <enter> TestSubscriber is a poor implementation for correctness testing. This new subscriber ensures all events are tested by being a JUnit rule. It also consumes events as they're validated so that assertion becomes more like a script than a ledger. <enter>  <enter> This also switches tests to use unsafeSubscribe to ensure that any contract violations are not being suppressed. The latest version of RxJava is required for accessing this method on Completable."
0,Remove creation of 'fat' jar. <enter>  <enter> Since the 'okhttp-protocols' module no longer exists we do not need to create this.
2,fixed generated argument names
2,optimize dynamic configuration api
0,document support for SNI
